created_at,id,full_text,retweet_count,favorite_count,retweeted,user.name,user.screen_name,user.profile_image_url,user.profile_image_url_https
Tue Jul 14 01:30:04 +0000 2020,1282849814774939649,Carrefour and Google Partner for Voice-Based eCommerce Grocery Shopping Experience https://t.co/ERhABBKu8k,0,1,False,Mark Johnson,MJohnsonLoyalty,http://pbs.twimg.com/profile_images/1225529936385060866/4z5NL3uz_normal.jpg,https://pbs.twimg.com/profile_images/1225529936385060866/4z5NL3uz_normal.jpg
Tue Jul 14 01:08:45 +0000 2020,1282844450100830208,RT @lavozdecomercio: Covid19 carrefour https://t.co/VfIY9509Zo,3,0,False,Alejandro Fernandez,ACF20092010,http://pbs.twimg.com/profile_images/992319588124766208/rjCjJBMd_normal.jpg,https://pbs.twimg.com/profile_images/992319588124766208/rjCjJBMd_normal.jpg
Tue Jul 14 01:08:37 +0000 2020,1282844417439801344,RT @lavozdecomercio: Covid19 carrefour https://t.co/lHK9OenclN,3,0,False,Alejandro Fernandez,ACF20092010,http://pbs.twimg.com/profile_images/992319588124766208/rjCjJBMd_normal.jpg,https://pbs.twimg.com/profile_images/992319588124766208/rjCjJBMd_normal.jpg
Tue Jul 14 00:51:57 +0000 2020,1282840220908621827,RT @lavozdecomercio: Covid19 carrefour https://t.co/lHK9OenclN,3,0,False,alberto aldeco,aldecoto,http://pbs.twimg.com/profile_images/378800000152142152/39dfaed042e4a5a91ddbee95ed8e1345_normal.jpeg,https://pbs.twimg.com/profile_images/378800000152142152/39dfaed042e4a5a91ddbee95ed8e1345_normal.jpeg
Tue Jul 14 00:47:49 +0000 2020,1282839182919049217,RT @lavozdecomercio: Covid19 carrefour https://t.co/lHK9OenclN,3,0,False,juan manuel alberti,juancho_80,http://pbs.twimg.com/profile_images/1281806273772761088/7vnJUVPA_normal.jpg,https://pbs.twimg.com/profile_images/1281806273772761088/7vnJUVPA_normal.jpg
Tue Jul 14 00:15:02 +0000 2020,1282830932232331271,Covid19 carrefour https://t.co/lHK9OenclN,3,3,False,Agrupacion La Voz De Comercio,lavozdecomercio,http://pbs.twimg.com/profile_images/1245776321067790338/_b_Xmdmh_normal.jpg,https://pbs.twimg.com/profile_images/1245776321067790338/_b_Xmdmh_normal.jpg
Tue Jul 14 00:13:46 +0000 2020,1282830613804965889,RT @lavozdecomercio: Covid19 carrefour https://t.co/VfIY9509Zo,3,0,False,juan manuel alberti,juancho_80,http://pbs.twimg.com/profile_images/1281806273772761088/7vnJUVPA_normal.jpg,https://pbs.twimg.com/profile_images/1281806273772761088/7vnJUVPA_normal.jpg
Mon Jul 13 23:05:41 +0000 2020,1282813478319861767,Carrefour Dschang. 🚌💨,0,0,False,Louis Collins T.,Collins_Tegueu,http://pbs.twimg.com/profile_images/1275391285931790342/uYvU_1Ky_normal.jpg,https://pbs.twimg.com/profile_images/1275391285931790342/uYvU_1Ky_normal.jpg
Mon Jul 13 23:00:48 +0000 2020,1282812248386412545,RT @lavozdecomercio: Covid19 carrefour https://t.co/VfIY9509Zo,3,0,False,alberto aldeco,aldecoto,http://pbs.twimg.com/profile_images/378800000152142152/39dfaed042e4a5a91ddbee95ed8e1345_normal.jpeg,https://pbs.twimg.com/profile_images/378800000152142152/39dfaed042e4a5a91ddbee95ed8e1345_normal.jpeg
Mon Jul 13 22:51:57 +0000 2020,1282810021559050240,@perezbordon Carrefour amor,0,0,False,𝑴𝒂𝒈𝒖𝒊 ~🖤,magalibrdon,http://pbs.twimg.com/profile_images/1274897192822636545/2ZoWB0oU_normal.jpg,https://pbs.twimg.com/profile_images/1274897192822636545/2ZoWB0oU_normal.jpg
